"","Date","location","count","status","year","month","day","julian"
"132",2014-07-16,"Westboro",19,"Swim","2014",7,16,197
"133",2014-07-16,"Mooneys",79,"Swim","2014",7,16,197
"134",2014-07-16,"PetrieEast",17,"Swim","2014",7,16,197
"135",2014-07-16,"PetrieRiver",40,"Swim","2014",7,16,197
"136",2014-07-17,"Britannia",18,"Swim","2014",7,17,198
"137",2014-07-17,"Westboro",52,"Swim","2014",7,17,198
"138",2014-07-17,"Mooneys",22,"Swim","2014",7,17,198
"139",2014-07-17,"PetrieEast",14,"Swim","2014",7,17,198
"140",2014-07-17,"PetrieRiver",22,"Swim","2014",7,17,198
"141",2014-07-18,"Britannia",13,"Swim","2014",7,18,199
"142",2014-07-18,"Westboro",25,"Swim","2014",7,18,199
"143",2014-07-18,"Mooneys",54,"Swim","2014",7,18,199
"144",2014-07-18,"PetrieEast",15,"Swim","2014",7,18,199
"145",2014-07-18,"PetrieRiver",18,"Swim","2014",7,18,199
"146",2014-07-19,"Britannia",10,"Swim","2014",7,19,200
"147",2014-07-19,"Westboro",36,"Swim","2014",7,19,200
"148",2014-07-19,"Mooneys",17,"Swim","2014",7,19,200
"149",2014-07-19,"PetrieEast",26,"Swim","2014",7,19,200
"150",2014-07-19,"PetrieRiver",37,"Swim","2014",7,19,200
"151",2014-07-20,"Britannia",24,"Swim","2014",7,20,201
"152",2014-07-20,"Westboro",23,"Swim","2014",7,20,201
"153",2014-07-20,"Mooneys",10,"Swim","2014",7,20,201
"154",2014-07-20,"PetrieEast",22,"Swim","2014",7,20,201
"155",2014-07-20,"PetrieRiver",23,"Swim","2014",7,20,201
"156",2014-07-21,"Britannia",29,"Swim","2014",7,21,202
"157",2014-07-21,"Westboro",29,"Swim","2014",7,21,202
"158",2014-07-21,"Mooneys",27,"Swim","2014",7,21,202
"159",2014-07-21,"PetrieEast",36,"Swim","2014",7,21,202
"160",2014-07-21,"PetrieRiver",27,"Swim","2014",7,21,202
"161",2014-07-22,"Britannia",11,"Swim","2014",7,22,203
"162",2014-07-22,"Westboro",10,"Swim","2014",7,22,203
"163",2014-07-22,"Mooneys",33,"Swim","2014",7,22,203
"164",2014-07-22,"PetrieEast",29,"Swim","2014",7,22,203
"165",2014-07-22,"PetrieRiver",16,"Swim","2014",7,22,203
"166",2014-07-23,"Britannia",15,"Swim","2014",7,23,204
"167",2014-07-23,"Westboro",33,"Swim","2014",7,23,204
"168",2014-07-23,"Mooneys",118,"Swim","2014",7,23,204
"169",2014-07-23,"PetrieEast",11,"Swim","2014",7,23,204
"170",2014-07-23,"PetrieRiver",21,"Swim","2014",7,23,204
"171",2014-07-24,"Britannia",17,"Swim","2014",7,24,205
"172",2014-07-24,"Westboro",11,"Swim","2014",7,24,205
"173",2014-07-24,"Mooneys",33,"Swim","2014",7,24,205
"174",2014-07-24,"PetrieEast",10,"Swim","2014",7,24,205
"175",2014-07-24,"PetrieRiver",20,"Swim","2014",7,24,205
"176",2014-07-25,"Britannia",10,"Swim","2014",7,25,206
"177",2014-07-25,"Westboro",21,"Swim","2014",7,25,206
"178",2014-07-25,"Mooneys",26,"Swim","2014",7,25,206
"179",2014-07-25,"PetrieEast",10,"Swim","2014",7,25,206
"180",2014-07-25,"PetrieRiver",27,"Swim","2014",7,25,206
"181",2014-07-26,"Britannia",18,"Swim","2014",7,26,207
"182",2014-07-26,"Westboro",11,"Swim","2014",7,26,207
"183",2014-07-26,"Mooneys",27,"Swim","2014",7,26,207
"184",2014-07-26,"PetrieEast",11,"Swim","2014",7,26,207
"185",2014-07-26,"PetrieRiver",37,"Swim","2014",7,26,207
"186",2014-07-27,"Britannia",11,"Swim","2014",7,27,208
"187",2014-07-27,"Westboro",27,"Swim","2014",7,27,208
"188",2014-07-27,"Mooneys",16,"Swim","2014",7,27,208
"189",2014-07-27,"PetrieEast",10,"Swim","2014",7,27,208
"190",2014-07-27,"PetrieRiver",30,"Swim","2014",7,27,208
"191",2014-07-28,"Britannia",11,"Swim","2014",7,28,209
"192",2014-07-28,"Westboro",139,"Swim","2014",7,28,209
"193",2014-07-28,"Mooneys",44,"Swim","2014",7,28,209
"194",2014-07-28,"PetrieEast",10,"Swim","2014",7,28,209
"195",2014-07-28,"PetrieRiver",28,"Swim","2014",7,28,209
"196",2014-07-29,"Britannia",10,"Swim","2014",7,29,210
"197",2014-07-29,"Westboro",40,"Swim","2014",7,29,210
"198",2014-07-29,"Mooneys",41,"Swim","2014",7,29,210
"199",2014-07-29,"PetrieEast",10,"Swim","2014",7,29,210
"200",2014-07-29,"PetrieRiver",26,"Swim","2014",7,29,210
"201",2014-07-30,"Britannia",17,"Swim","2014",7,30,211
"202",2014-07-30,"Westboro",45,"Rain","2014",7,30,211
"203",2014-07-30,"Mooneys",24,"Rain","2014",7,30,211
"204",2014-07-30,"PetrieEast",14,"Rain","2014",7,30,211
"205",2014-07-30,"PetrieRiver",35,"Rain","2014",7,30,211
"206",2014-07-31,"Britannia",13,"Swim","2014",7,31,212
"207",2014-07-31,"Westboro",40,"Rain","2014",7,31,212
"208",2014-07-31,"Mooneys",29,"Swim","2014",7,31,212
"209",2014-07-31,"PetrieEast",15,"Swim","2014",7,31,212
