Date,Britannia ,Westboro,Mooneys,PetrieEast,PetrieRiver
2017-07-06,Swim,Swim,Swim,Swim,Swim
2017-07-07,Swim,Swim,NoSwim,Swim,Swim
2017-07-08,Swim,Swim,Swim,Swim,Swim
2017-07-09,NoSwim,NoSwim,NoSwim,Rain,Rain
2017-07-10,Swim,Swim,NoSwim,Swim,Swim
2017-07-11,Swim,Swim,NoSwim,Swim,Swim
2017-07-12,Swim,Swim,NoSwim,Swim,NoSwim
2017-07-13,Swim,Swim,NoSwim,Swim,NoSwim
2017-07-14,Swim,Swim,NoSwim,Swim,Swim
2017-07-15,Swim,Swim,NoSwim,Swim,Swim
2017-07-16,Swim,Swim,NoSwim,Swim,Swim
2017-07-17,Swim,Swim,Swim,Swim,Swim
2017-07-18,Swim,Swim,Swim,NoSwim,Swim
2017-07-19,Swim,Swim,Swim,NoSwim,Swim
2017-07-20,Swim,Swim,Swim,NoSwim,Swim
2017-07-21,Swim,Swim,Swim,Swim,Swim
2017-07-22,Swim,Swim,Swim,Swim,Swim
2017-07-23,Swim,Swim,Swim,Swim,Swim
2017-07-24,Rain,Rain,Rain,Rain,Rain
2017-07-25,Rain,Rain,Rain,Rain,Rain
2017-07-26,Swim,Swim,NoSwim,Swim,NoSwim
2017-07-27,Swim,Swim,NoSwim,NoSwim,NoSwim
2017-07-28,Swim,Swim,NoSwim,Swim,NoSwim
2017-07-29,Swim,Swim,Swim,Swim,Swim
2017-07-30,Swim,Swim,Swim,Swim,Swim
2017-07-31,Swim,Swim,Swim,Swim,Swim
2017-08-01,Swim,Swim,Swim,Swim,Swim
2017-08-02,Swim,Swim,Swim,Swim,Swim
2017-08-03,Swim,Swim,Swim,Swim,Swim
2017-08-04,Swim,Swim,Swim,Swim,Swim
2017-08-05,Swim,Swim,Swim,Swim,Swim
2017-08-06,Swim,NoSwim,Swim,Swim,Swim
2017-08-07,Swim,NoSwim,Swim,Swim,Swim
2017-08-08,Swim,NoSwim,Swim,NoSwim,Swim
2017-08-09,Swim,Swim,Swim,Swim,Swim
2017-08-10,Swim,Swim,Swim,Swim,Swim
2017-08-11,Swim,Swim,NoSwim,Swim,Swim
2017-08-12,Swim,Swim,Swim,Swim,Swim
2017-08-13,Swim,Rain,Swim,Rain,Rain
2017-08-14,NoSwim,NoSwim,NoSwim,Swim,NoSwim
2017-08-15,Swim,NoSwim,Swim,Swim,NoSwim
2017-08-16,Swim,Swim,Swim,Swim,Swim
2017-08-17,Swim,Swim,Swim,Swim,Swim
2017-08-18,Rain,Rain,Rain,Rain,Rain
2017-08-19,Rain,Rain,Rain,Rain,Rain
2017-08-20,Swim,Swim,NoSwim,Swim,NoSwim
2017-08-21,Swim,Swim,NoSwim,Swim,Swim
2017-08-22,Swim,Swim,Rain,Rain,Rain
2017-08-23,Swim,Swim,Rain,Rain,Rain
2017-08-24,NoSwim,NoSwim,NoSwim,Swim,NoSwim
2017-08-25,Swim,Swim,Swim,NoSwim,NoSwim
2017-08-26,Swim,Swim,Swim,Swim,Swim
2017-08-27,Swim,Swim,Swim,Swim,Swim
2018-06-16,Swim,Swim,Swim,Swim,Swim
2018-06-17,NoSwim,Swim,Swim,Swim,Swim
2018-06-18,Swim,Swim,Swim,Swim,Swim
2018-06-19,Swim,Swim,Swim,Swim,Swim
2018-06-20,Swim,Swim,Swim,Swim,Swim
2018-06-21,Swim,Swim,Swim,Swim,Swim
2018-06-22,Swim,Swim,Swim,Swim,Swim
2018-06-23,Swim,Swim,Swim,Swim,Swim
2018-06-24,Swim,Swim,Swim,Swim,Swim
2018-06-25,Swim,Swim,Swim,Swim,Swim
2018-06-26,Swim,Swim,Swim,Swim,Swim
2018-06-27,Swim,Swim,Swim,Swim,Swim
2018-06-28,Swim,Swim,Swim,Swim,Swim
2018-06-29,Swim,Swim,Swim,Swim,Swim
2018-06-30,Swim,Swim,Swim,Swim,Swim
2018-07-01,Swim,Swim,Swim,Swim,Swim
2018-07-02,Swim,Swim,Swim,Swim,Swim
2018-07-03,Swim,Swim,Swim,Swim,Swim
2018-07-04,Swim,NoSwim,Swim,Swim,NoSwim
2018-07-05,NoSwim,Swim,Swim,Swim,Swim
2018-07-06,Swim,Swim,Swim,Swim,Swim
2018-07-07,Swim,Swim,Swim,Swim,Swim
2018-07-08,Swim,Swim,Swim,Swim,Swim
2018-07-09,Swim,Swim,Swim,Swim,Swim
2018-07-10,Swim,Swim,Swim,Swim,Swim
2018-07-11,Swim,Swim,Swim,Swim,Swim
2018-07-12,Swim,Swim,Swim,Swim,Swim
2018-07-13,Swim,Swim,Swim,Swim,Swim
2018-07-14,Swim,Swim,Swim,Swim,Swim
2018-07-15,Swim,Swim,Swim,Swim,Swim
2018-07-16,Swim,Swim,Swim,Swim,Swim
2018-07-17,Swim,Swim,Swim,Swim,Swim
2018-07-18,Swim,Swim,Swim,Swim,Swim
2018-07-19,Swim,Swim,Swim,Swim,Swim
2018-07-20,Swim,Swim,Swim,Swim,Swim
2018-07-21,Swim,Swim,Swim,Swim,Swim
2018-07-22,Swim,Swim,Swim,Swim,Swim
2018-07-23,Swim,Swim,Swim,Swim,Swim
2018-07-24,Rain,Rain,Rain,Rain,Rain
2018-07-25,Rain,Rain,NoSwim,Rain,NoSwim
2018-07-26,Rain,NoSwim,NoSwim,NoSwim,NoSwim
2018-07-27,Swim,Swim,NoSwim,NoSwim,NoSwim
2018-07-28,NoSwim,Swim,NoSwim,NoSwim,NoSwim
2018-07-29,Swim,Swim,Swim,NoSwim,Swim
2018-07-30,Swim,Swim,Swim,Swim,Swim
2018-07-31,Swim,Swim,Swim,Swim,Swim
2018-08-01,Swim,Swim,Swim,Swim,Swim
2018-08-02,Swim,Swim,Swim,Swim,Swim
2018-08-03,Swim,NoSwim,Swim,Swim,Swim
2018-08-04,Swim,Swim,Swim,Swim,Swim
2018-08-05,Swim,Swim,Swim,NoSwim,Swim
2018-08-06,Swim,Swim,Swim,Swim,Swim
2018-08-07,Swim,Swim,Rain,Rain,Rain
2018-08-08,Swim,Swim,NoSwim,NoSwim,Swim
2018-08-09,Swim,Swim,Swim,Swim,Swim
2018-08-10,Swim,Swim,Swim,Swim,Swim
2018-08-11,Swim,Swim,Swim,Swim,Swim
2018-08-12,Swim,Swim,Swim,Swim,Swim
2018-08-13,Swim,NoSwim,Swim,NoSwim,Swim
2018-08-14,Swim,Swim,Swim,Swim,Swim
2018-08-15,Swim,Swim,Swim,NoSwim,Swim
2018-08-16,Swim,Swim,Swim,Swim,Swim
2018-08-17,Swim,Swim,Swim,Swim,Swim
2018-08-18,Swim,Swim,Swim,NoSwim,Swim
