Date,Britannia ,Westboro,Mooneys,PetrieEast,PetrieRiver
2016-08-23,95.09359155,65.54330785,80.74385044,108.2963782,127.9099365
2016-08-24,17.82602458,47.23756075,129.0382179,38.98059841,76.76238805
2016-08-25,14.30969081,41.92962713,187.6784908,34.37543855,56.13894523
2016-08-26,11.48698355,32.87503659,199.5112167,18.20564203,89.69126885
2016-08-27,20.47672511,364.6094652,31.69786385,100.9266659,59.04560454
2016-08-28,22.20643035,65.54330785,26.8673979,95.37949596,36.76832575
2017-06-17,29.92555739,52.31873243,31.03691148,,
2017-06-18,16.09476912,31.77671523,87.95018782,,
2017-06-19,9.387403934,9.587315155,71.07986715,,
2017-06-20,15.15716567,148.6171057,34.71251715,,
2017-06-21,65.17506371,65.54330785,27.01920077,,
2017-06-22,16.09476912,364.7664753,23.52158045,24.59509486,
2017-06-23,35.03698962,76.89283136,16.09476912,11.24746113,
2017-06-24,9.486832981,52.2330338,150.5266591,23.73523814,133.3207268
2017-06-25,53.34537217,373.9962538,151.8371124,29.30156052,99.69737388
2017-06-26,100.5569612,85.23981584,37.27919273,22.9739671,38.44641568
2017-06-27,143.9565467,194.140134,107.5130361,84.9928988,574.6550559
2017-06-28,27.59459323,45.21602297,72.97835489,93.790447,104.3205711
2017-06-29,133.7504487,20.47672511,142.3228678,58.84529094,43
2017-06-30,12.38675375,37.76350045,70.68051678,21.41127368,72
2017-07-01,31.03691148,126.2166971,992.662255,203.9415498,201.8817552
2017-07-02,25.11886432,99.03266544,207.0292267,59.54882097,177.2652025
2017-07-03,163.3836159,678.3282849,554.0621304,98.30339939,990.5855376
2017-07-04,150.2215667,201.2346617,299.9039385,255.3938804,433.9275675
2017-07-05,22.20643035,52.66123073,85.23299556,165.7094409,135.3114691
2017-07-06,11.94321512,44.16333445,120.062435,95.60175419,60.43800271
2017-07-07,14.01131032,24.02248868,127.4743547,15.51845574,41.8255821
2017-07-08,12.65053819,145.219517,46.43984379,11.94321512,35.94431819
2017-07-09,866.1392117,370.6980512,418.4034134,19.6316817,67.5954889
2017-07-10,66.28908035,89.92396858,196.9525339,46.43984379,152.7505899
2017-07-11,16.4375183,78.60030856,350.4384941,20.04975186,24.25804834
2017-07-12,11.24746113,53.34537217,423.3580106,16.59870127,66.45398059
2017-07-13,11.24746113,151.0466254,621.4907721,90.6463423,331.5221919
2017-07-14,9.587315155,27.01920077,286.8567467,31.03691148,61.37953209
2017-07-15,43.17359884,13.19507911,147.6160875,24.97659622,93.9778564
2017-07-16,45.80344098,81.64932647,505.7584896,30.63887063,31.41552236
2017-07-17,67.9819039,75.90669948,93.26350102,173.0638344,110.7105212
2017-07-18,16.59870127,16.09476912,40.12036715,263.4912607,29.92555739
2017-07-19,118.9415619,16.4375183,56.59855214,157.623174,53.78268785
2017-07-20,63.07553088,11.48698355,24.02248868,454.5464321,73.60219228
2017-07-21,26.05171085,10,61.58111124,20.47672511,33.2269903
2017-07-22,71.74428052,37.76350045,24.91461879,66.86422152,24.02248868
2017-07-23,32.87503659,35.94431819,26.45580619,84.9928988,40.72336009
2017-07-24,16.4375183,112.6539976,12.19755409,123.8553013,65.1084224
2017-07-25,15.19487052,72.26801701,226.7700871,981.6163983,1000
2017-07-26,30.21900136,81.69966518,611.3151036,87.5644265,620.7392641
2017-07-27,69.17529748,85.51758619,543.5564865,204.0088385,366.3680816
2017-07-28,12.68200758,15.15716567,184.344799,92.41057426,211.945299
2017-07-29,21.68943542,29.92555739,37.37192819,59.66290001,41.28917917
2017-07-30,17.82602458,18.16908422,41.28917917,29.92555739,41.28917917
2017-07-31,11.01293315,11.24746113,40.42823217,12.65053819,38.6636409
2017-08-01,32.00868669,46.77885675,167.3798626,44.77694927,36.50186051
2017-08-02,14.84111394,16.09476912,22.9739671,18.10252901,48.6667707
2017-08-03,46.17892927,56.50469001,25.50849001,72.06746604,68.18852267
2017-08-04,53.04566009,130.9840439,93.5577135,100.6880659,58.60312103
2017-08-05,11.24746113,48.04497736,95.94689585,24.91461879,84.73376929
2017-08-06,11.24746113,343.7413219,53.10614561,16.4375183,72.11189731
2017-08-07,92.87968758,239.7904329,48.55933748,75.18462949,68.14962445
2017-08-08,14.30969081,99.79919517,30.68412765,582.2049251,45.35866311
2017-08-09,24.91461879,49.19018972,39.87421134,24.83626938,38.6636409
2017-08-10,74.48835555,109.2877416,121.1624447,47.4288122,68.7508771
2017-08-11,9.191661188,60.93346249,108.5234167,75.6006141,40.20109289
2017-08-12,96.98341166,112.0027747,25.1589265,73.30539958,65.1084224
2017-08-13,26.30716865,33.65865436,80.60219369,18.48803481,41.12268512
2017-08-14,337.7637382,122.2136813,218.2620123,95.21216248,177.7438734
2017-08-15,24.39510819,168.5616835,66.45398059,99.02101865,231.5265997
2017-08-16,21.68943542,58.8185795,50.34403297,31.03691148,68.53467509
2017-08-17,16.4375183,36.2967809,47.89388953,20.91279105,31.03691148
2017-08-18,139.9883362,72.06746604,283.9258426,36.76832575,44.52537745
2017-08-19,86.17380833,23.03111698,498.4488892,695.0234521,122.1700803
2017-08-20,35.94431819,84.94455241,527.8023602,56.50469001,267.9174433
2017-08-21,20.47672511,123.0619274,311.6374273,70.96668208,68.9219013
2017-08-22,21.68943542,28.252345,74.32392049,35.19482029,50.34403297
2017-08-23,9.587315155,19.47294361,58.27386917,1000,27.01920077
2017-08-24,326.5027496,1000,233.9176685,71.30409832,937.0344273
2017-08-25,132.4451866,24.91461879,48.91382284,226.2390516,263.2218417
2017-08-26,51.43520797,27.59459323,63.46491559,58.16244604,38.6636409
2017-08-27,19.33182045,14.01131032,62.73837316,29.13693459,33.46954883
2018-06-16,13.19507911,18.88175023,27.86518023,47.89388953,119.7645096
2018-06-17,261.0564338,18.88175023,22.36853829,32.00868669,49.98398975
2018-06-18,15.15716567,13.19507911,15.15716567,26.30716865,32.45342223
2018-06-19,16.4375183,36.76832575,16.4375183,20.91279105,35.45174407
2018-06-20,16.4375183,21.86724148,22.67933155,32.45342223,139.7384036
2018-06-21,27.01920077,32.45342223,51.7903171,23.52158045,53.04566009
2018-06-22,12.4573094,13.19507911,30.21900136,24.91461879,32.45342223
2018-06-23,13.19507911,16.4375183,15.15716567,22.67933155,36.41128406
2018-06-24,15.15716567,34.46095065,18.88175023,15.84893192,31.69786385
2018-06-25,15.84893192,55.32647469,14.30969081,16.4375183,40.82466324
2018-06-26,10,27.59459323,22.67933155,39.28757017,39.48700972
2018-06-27,16.4375183,38.44641568,22.9739671,13.79729661,36.50186051
2018-06-28,14.30969081,29.92555739,22.67933155,20.91279105,45.35866311
2018-06-29,14.30969081,14.30969081,23.7144061,10,29.54176939
2018-06-30,14.30969081,35.65204916,29.13693459,19.74350486,40.75965548
2018-07-01,16.4375183,56.73818842,18.20564203,18.88175023,33.65865436
2018-07-02,39.48700972,64.70273085,31.29134645,11.48698355,20.91279105
2018-07-03,11.48698355,38.6636409,11.48698355,20.91279105,26.05171085
2018-07-04,23.38942837,812.3728955,24.91461879,18.88175023,207.5258924
2018-07-05,258.1449518,42.82254737,13.19507911,118.6360093,159.3050239
2018-07-06,187.9189042,40.95345022,19.03653939,57.43491775,58.27386917
2018-07-07,143.9341863,27.59459323,10,29.30156052,55.01563212
2018-07-08,14.30969081,71.30409832,10,39.48700972,29.30156052
2018-07-09,45.49953123,39.58523732,15.15716567,12.4573094,31.77671523
2018-07-10,11.48698355,53.7347958,12.4573094,11.48698355,32.45342223
2018-07-11,10,125.4767463,11.48698355,13.19507911,29.92555739
2018-07-12,11.48698355,22.36853829,10,21.68943542,29.30156052
2018-07-13,10,57.85155024,26.05171085,11.48698355,21.41127368
2018-07-14,11.48698355,20.47672511,57.21638686,18.88175023,26.05171085
2018-07-15,14.30969081,31.77671523,25.50849001,10,25.50849001
2018-07-16,45.73050519,107.8418282,15.15716567,10,14.30969081
2018-07-17,58.0642455,62.38588807,61.27774126,11.48698355,60.24794233
2018-07-18,102.3508418,144.5145346,24.91461879,10,57.70799624
2018-07-19,17.41101127,22.67933155,13.19507911,17.82602458,173.9181688
2018-07-20,18.20564203,27.59459323,56.18722783,16.4375183,46.08619975
2018-07-21,10,15.15716567,26.39015822,11.48698355,29.92555739
2018-07-22,10,10,29.54176939,16.4375183,16.4375183
2018-07-23,11.48698355,27.01920077,15.15716567,519.3676914,64.07442995
2018-07-24,11.48698355,58.27386917,53.34537217,44.77694927,53.04566009
2018-07-25,51.01698003,32.45342223,210.4279803,135.0238757,327.3623608
2018-07-26,24.91461879,252.9339159,933.79527,1000,465.4026045
2018-07-27,11.48698355,110.3729828,275.9887458,211.2539436,1000
2018-07-28,278.3326127,42.2357153,256.7088777,907.1685372,441.4852981
2018-07-29,37.27919273,52.10342169,69.17529748,249.3873922,174.6843578
2018-07-30,92.75032818,34.99708406,35.19482029,98.62510977,130.3966478
2018-07-31,16.4375183,41.12268512,59.39534259,67.48785223,77.64682691
2018-08-01,10,17.82602458,82.41253701,29.92555739,52.61433731
2018-08-02,15.15716567,53.9253495,56.18722783,64.21618893,39.73077521
2018-08-03,28.85399812,1000,61.87861839,131.7639482,39.73077521
2018-08-04,11.48698355,18.88175023,20,51.33192358,86.07566023
2018-08-05,16.4375183,21.68943542,171.4771296,239.0115677,58.27386917
2018-08-06,64.07442995,41.69405251,41.12268512,197.3718289,44.4128607
2018-08-07,16.70277652,30.31433133,20.91279105,23.52158045,46.17892927
2018-08-08,130.3501274,114.6391713,523.5338769,212.6851357,135.9918879
2018-08-09,26.05171085,38.94588722,22.20643035,193.1368615,175.8525506
2018-08-10,18.88175023,78.54783835,45.63867613,64.70273085,69.48691054
2018-08-11,34.37543855,41.28917917,31.29134645,63.55343046,68.9219013
2018-08-12,20.91279105,48.87883438,48.2090081,80.60219369,31.29134645
2018-08-13,10,480.2080444,23.52158045,383.8284612,32.87503659
2018-08-14,102.3508418,21.68943542,24.02248868,69.17529748,32.45342223
2018-08-15,19.74350486,59.66290001,18.88175023,241.9954755,23.52158045
2018-08-16,42.82254737,67.56480551,20.91279105,68.9219013,37.64474495
2018-08-17,45.12956723,65.05044508,24.02248868,131.9085398,87.65405251
2018-08-18,15.30579376,28.52938178,20.91279105,1000,174.0752767
2018-08-19,30.17088168,49.67253876,13.79729661,42.2357153,59.08353878
2018-08-20,27.01920077,51.01698003,90.15765429,56.73818842,34.65724216
2018-08-21,18.88175023,311.1104507,28.61938162,125.4767463,31.77671523
2018-08-22,17.82602458,44.4128607,65.01466374,696.6577377,24.91461879
2018-08-23,88.00893883,828.5180261,374.8256631,86.9433395,184.1348386
2018-08-24,41.20626851,47.4288122,47.67911007,961.0871496,261.8080862
2018-08-25,21.86724148,68.14962445,65.43893899,88.04890658,72.5935618
2018-08-26,17.82602458,40.42823217,91.98543569,205.0938353,168.7396793
2019-06-15,15.15716567,85.85814487,18.88175023,,
2019-06-16,79.74842269,88.55224516,27.01920077,,
2019-06-17,127.5016103,88.04890658,18.88175023,,
2019-06-18,17.82602458,16.4375183,16.4375183,,
2019-06-19,87.50310682,19.74350486,10,,
2019-06-20,21.41127368,63.19636611,15.51845574,,
2019-06-21,48.55933748,132.16124,32.45342223,,
2019-06-22,162.3708294,83.08814003,32.52522254,,
2019-06-23,243.8793226,92.44017406,18.20564203,,
2019-06-24,191.7654739,164.6373457,13.19507911,,
2019-06-25,15.15716567,11.48698355,13.19507911,,
2019-06-26,17.82602458,32.77165392,125.2752016,,
2019-06-27,19.74350486,72.45475856,20.47672511,,
2019-06-28,24.59509486,113.8787854,19.03653939,,
2019-06-29,18.20564203,64.56521052,18.20564203,15.15716567,40.124226
2019-06-30,43.2424566,432.9269318,94.63425231,11.48698355,556.4127575
2019-07-01,129.9990897,110.8420067,106.7462546,96.19482396,124.7717761
2019-07-02,44.09333521,27.01920077,33.0975092,34.64101615,21.14742527
2019-07-03,12.4573094,54.48139855,17.41101127,12.4573094,17.82602458
2019-07-04,128.6457218,12.4573094,12.4573094,10,30.86253577
2019-07-05,17.41101127,38.07307877,13.19507911,17.41101127,24.59509486
2019-07-06,10,21.68943542,116.34542,121.3755101,46.43984379
2019-07-07,12.4573094,468.3219652,31.03691148,15.15716567,55.32647469
2019-07-08,52.2330338,38.6636409,21.11785765,18.88175023,39.87421134
2019-07-09,47.0431609,23.52158045,27.01920077,13.19507911,14.30969081
2019-07-10,231.4634216,17.82602458,46.43984379,15.84893192,46.43984379
2019-07-11,45.01325237,17.41101127,17.18771928,17.82602458,51.22780118
2019-07-12,18.88175023,15.15716567,22.9739671,20.47672511,61.72507154
2019-07-13,789.4314608,440.6070753,96.41153563,17.82602458,137.1182686
2019-07-14,168.1434111,51.38940628,13.19507911,57.52652096,462.1276882
2019-07-15,192.5166608,43.17359884,21.68943542,98.48774836,91.68852815
2019-07-16,41.12268512,40.95345022,10,44.57614768,37.27919273
2019-07-17,39.48700972,68.96439326,17.18771928,22.20643035,16.4375183
2019-07-18,32.00868669,125.7106574,14.30969081,17.41101127,43.84327655
2019-07-19,14.30969081,69.64064414,63.81605689,55.52988633,44.77694927
2019-07-20,15.15716567,13.19507911,11.48698355,46.43984379,27.01920077
2019-07-21,50.36269965,38.6636409,15.15716567,15.15716567,23.52158045
2019-07-22,206.5383009,72.5935618,15.15716567,200.9287344,535.2714557
2019-07-23,22.67933155,323.8722359,11.48698355,92.79244915,77.02056102
2019-07-24,42.63051027,31.03691148,34.82202253,36.41128406,56.73818842
2019-07-25,54.48139855,20,18.88175023,24.02248868,34.37543855
2019-07-26,34.37543855,101.1691407,54.37199727,40.24693234,59.85111479
2019-07-27,18.20564203,28.61938162,18.20564203,13.19507911,45.73050519
2019-07-28,15.15716567,31.03691148,29.51546323,17.41101127,36.76832575
2019-07-29,14.30969081,13.19507911,19.74350486,41.39188984,29.92555739
2019-07-30,75.68857317,67.73287924,39.65018474,11.48698355,13.19507911
2019-07-31,75.83426929,11.48698355,27.01920077,13.19507911,32.45342223
2019-08-01,638.8120806,261.9871096,20.91279105,12.4573094,38.98059841
2019-08-02,55.01563212,313.8981198,19.74350486,34.65724216,61.916768
2019-08-03,23.52158045,131.9600263,21.77906424,22.67933155,41.39188984
2019-08-04,15.15716567,28.252345,17.41101127,13.19507911,42.2357153
2019-08-05,16.4375183,28.61938162,18.88175023,20.47672511,18.88175023
2019-08-06,20.47672511,33.65865436,19.74350486,13.19507911,17.82602458
2019-08-07,12.4573094,23.52158045,15.84893192,103.562906,17.82602458
2019-08-08,66.45398059,72.1871801,15.51845574,16.4375183,85.42840135
2019-08-09,13.19507911,193.9481691,13.79729661,15.15716567,124.5631265
2019-08-10,57.29455162,193.7459038,38.44641568,59.85111479,246.910834
2019-08-11,19.03653939,23.52158045,13.19507911,61.87861839,70.96668208
2019-08-12,38.98059841,16.4375183,20.47672511,35.19482029,47.4288122
2019-08-13,29.13693459,18.88175023,12.4573094,88.8257214,132.5009061
2019-08-14,735.4772789,45.80344098,537.6029561,32.00868669,65.17506371
2019-08-15,61.78008506,46.43984379,17.41101127,75.86870812,52.2330338
2019-08-16,25.69470314,18.88175023,13.19507911,45.80344098,47.6248057
2019-08-17,36.41128406,50.73034963,14.30969081,45.35866311,30.86253577
2019-08-18,123.5601701,300.3547157,166.6457121,237.9286369,134.7046667
2019-08-19,467.9970487,534.2581407,424.7927505,26.8673979,81.94951592
2019-08-20,147.3879317,30.40847703,61.61861499,116.2732901,245.6353223
2019-08-21,94.37852098,62.07382296,51.52064898,211.1785765,72.5935618
2019-08-22,52.31873243,77.3272818,37.06974581,130.5515136,105.2834242
2019-08-23,45.73050519,165.7227009,132.453635,49.7249914,251.9905259
2019-08-24,102.4556024,253.9409755,137.5554239,300.7371096,72.33242711
2019-08-25,30.21900136,40.72336009,14.30969081,44.4128607,44.77694927
